copy_key,comp_id,resolution,method,n_centres,n_differing,differing_abs_volumes,min_abs_volume_all,labels,error
3NTL:A:550,IHP,1.88,X-RAY DIFFRACTION,6.0,3.0,"[2.273, 2.646, 2.435]",1.9243261211243357,"[[""S"", ""R""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
3NTL:B:551,IHP,1.88,X-RAY DIFFRACTION,6.0,3.0,"[2.186, 2.215, 2.506]",2.1567398059745466,"[[""S"", ""R""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
4LV7:A:501,IHP,2.6,X-RAY DIFFRACTION,6.0,5.0,"[2.425, 2.331, 2.439, 2.182, 2.261]",2.1823690172524173,"[[""S"", ""r""], [""s"", ""r""], [""R"", ""r""], [""S"", ""r""], [""r"", ""r""], [""R"", ""r""]]",
4LV7:B:501,IHP,2.6,X-RAY DIFFRACTION,6.0,5.0,"[2.408, 2.266, 2.491, 2.21, 2.285]",2.210267095365839,"[[""S"", ""r""], [""s"", ""r""], [""R"", ""r""], [""S"", ""r""], [""r"", ""r""], [""R"", ""r""]]",
6BK8:A:3001,IHP,3.3,ELECTRON MICROSCOPY,6.0,5.0,"[2.12, 1.95, 2.122, 2.078, 2.094]",1.9500822715632182,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
6QH5:A:701,IHP,2.56,X-RAY DIFFRACTION,6.0,5.0,"[1.778, 1.044, 1.676, 2.056, 2.022]",1.0442094526905286,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7DNU:A:301,IHP,2.25,X-RAY DIFFRACTION,6.0,5.0,"[2.187, 2.216, 2.313, 1.376, 2.226]",1.3759264381907217,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OHO:AAA:701,IHP,2.88,X-RAY DIFFRACTION,6.0,1.0,[2.737],2.2688728586066644,"[[""S"", ""S""], [""s"", ""r""], [""R"", ""R""], [""S"", ""S""], [""r"", ""r""], [""R"", ""R""]]",
8WDQ:A:301,,,,,,,,,KeyError: 'template_cip'
8WDQ:B:302,,,,,,,,,KeyError: 'template_cip'
9YKV:A:1102,IHP,2.73,ELECTRON MICROSCOPY,6.0,3.0,"[2.162, 2.367, 2.473]",2.1621490283017497,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
5MZA:B:205,IHP,2.78,X-RAY DIFFRACTION,6.0,5.0,"[2.364, 2.62, 2.353, 2.424, 2.316]",2.316148517464656,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
6BU0:B:1701,IHP,2.43,X-RAY DIFFRACTION,6.0,3.0,"[2.532, 2.74, 1.777]",1.7773755436057321,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
6BU0:B:1702,IHP,2.43,X-RAY DIFFRACTION,6.0,3.0,"[2.367, 2.402, 2.622]",2.248765401710488,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
6BU0:C:1701,IHP,2.43,X-RAY DIFFRACTION,6.0,3.0,"[2.355, 2.181, 2.582]",2.1807563728003707,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
6BU0:C:1702,IHP,2.43,X-RAY DIFFRACTION,6.0,3.0,"[2.296, 2.384, 2.562]",2.26872710696827,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
7E1I:B:201,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.5, 2.483]",2.383798649273122,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7E1I:C:201,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.389, 2.477]",2.389095144393252,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7E1I:D:201,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.542, 2.476]",2.345498167776775,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7E1I:E:202,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.534, 2.48]",2.356285299849415,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7E1I:G:201,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.533, 2.5]",2.379300597835337,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7E1I:I:201,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.475, 2.414]",2.3744394856136184,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7E1I:J:201,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.47, 2.478]",2.384188221321156,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7E1I:K:201,IHP,3.3,X-RAY DIFFRACTION,6.0,2.0,"[2.529, 2.448]",2.391688500867811,"[[""S"", ""S""], [""s"", ""R""], [""R"", ""R""], [""S"", ""S""], [""r"", ""S""], [""R"", ""R""]]",
7OR0:A:1206,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.609, 2.585, 2.535, 2.614, 2.45]",2.4226839803021676,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OR0:B:1206,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.606, 2.586, 2.537, 2.613, 2.449]",2.420087501342117,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OR0:C:1206,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.607, 2.584, 2.533, 2.612, 2.451]",2.422406594696181,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OR0:D:1201,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.609, 2.584, 2.53, 2.616, 2.451]",2.424980537959744,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3Y:A:501,IHP,2.2,X-RAY DIFFRACTION,6.0,5.0,"[2.262, 2.056, 1.845, 1.98, 1.828]",1.7842295790835974,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3Y:B:501,IHP,2.2,X-RAY DIFFRACTION,6.0,5.0,"[2.139, 2.197, 1.873, 2.063, 2.106]",1.872791703156327,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3Y:C:501,IHP,2.2,X-RAY DIFFRACTION,6.0,5.0,"[2.279, 2.137, 2.262, 2.348, 2.061]",2.0608604751486816,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3Y:D:501,IHP,2.2,X-RAY DIFFRACTION,6.0,5.0,"[2.251, 2.341, 2.275, 2.152, 2.125]",1.9298069593640395,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9B83:A:1301,IHP,3.01,ELECTRON MICROSCOPY,6.0,3.0,"[2.304, 2.283, 2.561]",2.2825710324388098,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9B83:B:1301,IHP,3.01,ELECTRON MICROSCOPY,6.0,3.0,"[2.415, 2.509, 2.391]",2.286059761652119,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9QO4:B:501,IHP,2.95,ELECTRON MICROSCOPY,6.0,5.0,"[2.486, 2.528, 2.564, 2.514, 2.572]",2.4855926228262764,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W40:A:501,IHP,2.53,X-RAY DIFFRACTION,6.0,5.0,"[2.257, 2.137, 2.199, 2.206, 2.088]",1.991757174895469,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W40:B:501,IHP,2.53,X-RAY DIFFRACTION,6.0,5.0,"[2.191, 2.185, 2.022, 2.169, 2.224]",2.0223660641167327,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
