uniprot_id,gene,name,pfam,organism_id,length,organism_key,arrestin_fold,classic,alpha,in_screen,learned_score,seen,cluster,top_pocket_residues,top_pocket
P10523,SAG,S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin),PF02752;PF00339;,9606,405,human,True,True,False,True,0.6237192076521393,True,P36575,"18,19,70,74,150,152,175,176,177,302,305,381,382,383,384",44.0
P32121,ARRB2,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),PF02752;PF00339;,9606,409,human,True,True,False,True,0.4224381122011769,True,P36575,"16,18,48,52,151,152,153,157,158,159,160,162,163",9.0
P36575,ARR3,Arrestin-C (Cone arrestin) (C-arrestin) (cArr) (Retinal cone arrestin-3) (X-arrestin),PF02752;PF00339;,9606,388,human,True,True,False,True,0.7002002510359129,True,P36575,"7,58,62,123,124,125,139,140,142,162,163,164,165,166,287,288,289,292,294,295,367,368,369,370,373,377",2.0
P49407,ARRB1,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),PF02752;PF00339;,9606,418,human,True,True,False,True,0.391809880158672,True,P36575,"145,147,160,163,164,165",56.0
Q8N5I2,ARRDC1,Arrestin domain-containing protein 1 (Alpha-arrestin 1),PF02752;PF00339;,9606,433,human,True,False,True,True,0.0701323614922567,False,Q8N5I2,"42,44,46,68,70,110,112,113,114,116,125,126,127",46.0
Q8NCT1,ARRDC4,Arrestin domain-containing protein 4,PF02752;PF00339;,9606,418,human,True,False,True,True,0.1093897926864898,False,Q9H3M7,"183,184,185,186,224,299,301,302,303",20.0
Q96B67,ARRDC3,Arrestin domain-containing protein 3 (TBP-2-like inducible membrane protein) (TLIMP),PF02752;PF00339;,9606,414,human,True,False,True,True,0.0851364392214652,False,Q9H3M7,"4,5,41,42,43,45,46,48,87,90,91,93,94,95,96,97,98,99,100,101,102,103,143,144,145,146,147,149",6.0
Q9H3M7,TXNIP,Thioredoxin-interacting protein (Thioredoxin-binding protein 2) (Vitamin D3 up-regulated protein 1),PF02752;PF00339;,9606,391,human,True,False,True,True,0.1010713066623799,False,Q9H3M7,"3,4,5,6,7,38,39,40,88,131,132,134,137",41.0
Q8TBH0,ARRDC2,Arrestin domain-containing protein 2,PF02752;PF00339;,9606,407,human,True,False,True,True,0.8369623473192135,False,Q9H3M7,"50,52,54,56,126,128,130,132,144,146",15.0
A8K103,,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,418,human,True,True,False,False,,,,,
A0ACI8PFA8,ARRB1,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,398,human,True,True,False,False,,,,,
A0ACI8PLY4,ARRDC1,Arrestin domain-containing protein 1 (Alpha-arrestin 1),PF02752;PF00339;,9606,431,human,True,False,True,False,,,,,
A0ACI8PTN4,ARRB1,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,442,human,True,True,False,False,,,,,
A0ACI8QAY4,ARRB1,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,406,human,True,True,False,False,,,,,
A0ACI8QMF7,ARRB1,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,445,human,True,True,False,False,,,,,
A0ACI8QVK5,ARRB1,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,434,human,True,True,False,False,,,,,
A0ACI8RNG8,ARRB1,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,382,human,True,True,False,False,,,,,
A0ACI8TFJ5,ARRB1,Beta-arrestin-1 (Arrestin beta-1),PF02752;PF00339;,9606,437,human,True,True,False,False,,,,,
